"","Issue","Grooming/Analysis","Ready for Dev","In Dev","Ready For Test","In Test","Tipo.de.Pendência","Situação","Data.de.Resolução","Lead.Time"
"25","ACT-226",0,0,1.73,0,0,"Story","Done",2017-04-20,1.73
"1","ACT-1216",0,0,0.95,0,0,"Story","Done",2017-04-27,0.95
"2","ACT-1240",0,0,5.8,0,0,"Story","Done",2017-05-04,5.8
"10","ACT-1674",6.87,0,0,0,0,"Story","Done",2017-05-17,6.87
"71","ACT-80",0,0,14.15,0,0,"Story","Done",2017-05-29,14.15
"72","ACT-82",21.04,0,0,0,0,"Story","Done",2017-05-29,21.04
"13","ACT-1734",0,0,0.75,0.01,4.36,"Story","Done",2017-06-06,5.12
"3","ACT-1629",0,0,5.57,1.72,0,"Story","Done",2017-06-27,7.29
"4","ACT-1651",0,0.23,8.25,4.51,0.3,"Story","Done",2017-06-27,13.29
"8","ACT-1661",0,0,0,4.42,0.3,"Story","Done",2017-06-27,4.72
"14","ACT-1779",12.24,5.08,8.21,0.57,3.4,"Story","Done",2017-06-27,29.5
"15","ACT-1781",12.14,1.97,5.75,1.14,8.37,"Story","Done",2017-06-27,29.37
"16","ACT-1782",11.99,2.92,4.09,0,5.79,"Story","Done",2017-06-27,24.79
"17","ACT-1783",9.32,2.01,11.4,2.51,0.05,"Story","Done",2017-06-27,25.29
"18","ACT-1785",9.26,0.28,6.65,5.32,0.97,"Story","Done",2017-06-27,22.48
"19","ACT-1786",18.19,0,0,3.31,0,"Story","Done",2017-06-27,21.5
"20","ACT-1789",22.22,0,0,1.95,3.25,"Story","Done",2017-06-27,27.42
"21","ACT-1790",22.85,0.43,0.03,1.12,2.01,"Story","Done",2017-06-27,26.44
"22","ACT-1791",18.19,0,0,5.07,0,"Story","Done",2017-06-27,23.26
"23","ACT-1792",22.84,0.43,0.75,0.41,0,"Story","Done",2017-06-27,24.43
"24","ACT-1793",22.83,0,0.54,0.64,0.15,"Story","Done",2017-06-27,24.16
"26","ACT-2526",4.97,0,1.41,3.67,5.38,"Story","Done",2017-06-27,15.43
"27","ACT-275",0,0,0.97,0.21,0,"Story","Done",2017-06-27,1.18
"28","ACT-2755",4.97,0,1.47,7.05,3.5,"Story","Done",2017-06-27,16.99
"36","ACT-3016",0,0,9.97,0,0,"Story","Done",2017-06-27,9.97
"38","ACT-3024",0,0,0.27,2.62,0.25,"Story","Done",2017-06-27,3.14
"42","ACT-3278",0,0,3.7,0.03,0.24,"Story","Done",2017-06-27,3.97
"37","ACT-3020",7.18,0,0,0,0,"Story","Done",2017-06-30,7.18
"29","ACT-2768",4.97,0,7.23,15.01,7.07,"Story","Done",2017-07-06,34.28
"5","ACT-1652",0,0,5.3,0.75,4.7,"Story","Done",2017-07-10,10.75
"6","ACT-1657",0,0.99,0.3,0.71,0.85,"Story","Done",2017-07-10,2.85
"7","ACT-1660",0,0,0,6.41,2.02,"Story","Done",2017-07-10,8.43
"9","ACT-1662",0,0,6.24,0.62,3.1,"Story","Done",2017-07-10,9.96
"12","ACT-1725",0,2.11,3.4,8.64,11.88,"Story","Done",2017-07-11,26.03
"34","ACT-2891",7.2,0.06,6.05,0.67,6.08,"Story","Done",2017-07-13,20.06
"35","ACT-2897",7.42,0,11.85,0.01,5.03,"Story","Done",2017-07-17,24.31
"30","ACT-2855",0,0,3.73,0.24,4.13,"Story","Done",2017-07-18,8.1
"31","ACT-2866",0,3,4.42,0.54,0.39,"Story","Done",2017-07-19,8.35
"32","ACT-2889",0,0.95,2.05,4.04,2.24,"Story","Done",2017-07-20,9.28
"39","ACT-3193",0,7.25,0.17,0.93,0.9,"Story","Done",2017-07-20,9.25
"33","ACT-2890",0,7.14,0.28,1.84,1.01,"Story","Done",2017-07-21,10.27
"44","ACT-4186",12.98,0.42,5.67,0,3.2,"Story","Done",2017-07-27,22.27
"47","ACT-4273",12.75,3,5.04,0,1.25,"Story","Done",2017-07-27,22.04
"54","ACT-5076",22.02,0,1.03,0,2.97,"Story","Done",2017-08-14,26.02
"49","ACT-4429",0,0,0.09,0.08,1.11,"Story","Done",2017-08-15,1.28
"50","ACT-4430",0,0.05,0.16,0.83,0.29,"Story","Done",2017-08-15,1.33
"48","ACT-4428",0,0.02,1.96,0.03,1.1,"Story","Done",2017-08-17,3.11
"51","ACT-5069",25.69,0,0.04,0.3,2.97,"Story","Done",2017-08-17,29
"52","ACT-5070",21.76,0,1.29,2.67,3.28,"Story","Done",2017-08-17,29
"56","ACT-5087",7.19,0,1.86,0,0,"Story","Done",2017-08-23,9.05
"58","ACT-5560",0,0,10.98,0,0,"Story","Done",2017-08-23,10.98
"60","ACT-5682",12.13,0,0,0,0,"Story","Done",2017-08-23,12.13
"53","ACT-5074",23.01,2.67,3.09,0.16,8.08,"Story","Done",2017-08-25,37.01
"55","ACT-5085",5.8,0,0,0,1.08,"Story","Done",2017-08-25,6.88
"57","ACT-5097",26.99,0.78,1.96,0.02,7.28,"Story","Done",2017-08-25,37.03
"61","ACT-5683",13.28,0,2.74,0,7.27,"Story","Done",2017-08-25,23.29
"62","ACT-5684",14.02,0,1,0.12,8.15,"Story","Done",2017-08-25,23.29
"67","ACT-6351",1.17,0,0.71,0,7.3,"Story","Done",2017-08-25,9.18
"64","ACT-6342",7.28,0,5.79,0.01,1.26,"Story","Done",2017-09-01,14.34
"68","ACT-7013",0,0,5.81,0,0,"Story","Done",2017-09-05,5.81
"46","ACT-4249",10.75,0,6.95,0,5.29,"Story","Done",2017-09-06,22.99
"65","ACT-6343",7.28,0,6.77,0,5.22,"Story","Done",2017-09-06,19.27
"59","ACT-5582",10.18,0,0,0,0,"Story","Done",2017-09-07,10.18
"69","ACT-7015",0,0,2.03,0,0,"Story","Done",2017-09-07,2.03
"45","ACT-4244",21.85,0,15.99,0,1.21,"Story","Done",2017-09-08,39.05
"63","ACT-6011",9.15,0,8.95,0,0,"Story","Done",2017-09-08,18.1
