"","Issue","In Development","Ready for Test","System Test","Tipo.de.Pendência","Situação","Data.de.Resolução","Lead.Time"
"36","ACT-212",0,0.37,0,"Story","Done",2017-04-19,0.37
"39","ACT-223",5.12,0,0,"Story","Done",2017-04-24,5.12
"3","ACT-1235",0,0,1.14,"Story","Done",2017-05-03,1.14
"56","ACT-248",8.21,0,0,"Story","Done",2017-05-04,8.21
"74","ACT-308",10.08,0,0,"Story","Done",2017-05-04,10.08
"5","ACT-1238",2.76,4.1,0,"Story","Done",2017-05-05,6.86
"38","ACT-218",0,8.97,0,"Story","Done",2017-05-05,8.97
"77","ACT-312",10.04,0,0,"Story","Done",2017-05-05,10.04
"28","ACT-1772",4.86,0,0,"Story","Done",2017-05-17,4.86
"7","ACT-1252",0.08,17.88,0,"Story","Done",2017-05-19,17.96
"9","ACT-1348",0,0,0.84,"Story","Done",2017-05-20,0.84
"72","ACT-306",0,14.08,0,"Story","Done",2017-05-20,14.08
"53","ACT-2400",0,1.97,0,"Story","Done",2017-05-31,1.97
"55","ACT-2433",0,0,6.98,"Story","Done",2017-06-06,6.98
"64","ACT-3014",0,0,0.01,"Story","Done",2017-06-13,0.01
"80","ACT-3324",0.98,3.89,0,"Story","Done",2017-06-27,4.87
"63","ACT-3013",17.81,0,0,"Story","Done",2017-07-10,17.81
"32","ACT-1983",0,11.85,0,"Story","Done",2017-07-21,11.85
"58","ACT-2737",0,0,4.83,"Story","Done",2017-07-21,4.83
"71","ACT-3057",0,0,0.2,"Story","Done",2017-07-21,0.2
"13","ACT-1548",83.97,0.01,0,"Story","Done",2017-07-31,83.98
"93","ACT-4874",13.65,0,0,"Story","Done",2017-07-31,13.65
"99","ACT-4986",5.7,0,0,"Story","Done",2017-08-07,5.7
"65","ACT-3039",0,1.74,4.22,"Story","Done",2017-08-09,5.96
"66","ACT-3040",0.11,0.95,4.22,"Story","Done",2017-08-09,5.28
"67","ACT-3041",0,4.87,2.16,"Story","Done",2017-08-11,7.03
"68","ACT-3042",0,2.04,2.15,"Story","Done",2017-08-11,4.19
"82","ACT-3845",9.93,0,0,"Story","Done",2017-08-14,9.93
"49","ACT-2348",1.25,0,0,"Story","Done",2017-08-15,1.25
"92","ACT-4869",0,2.9,0.11,"Story","Done",2017-08-18,3.01
"102","ACT-5446",0,0.88,2.13,"Story","Done",2017-08-18,3.01
"31","ACT-1982",14.88,0,0.1,"Story","Done",2017-08-19,14.98
"85","ACT-4055",0,13.78,0,"Story","Done",2017-08-19,13.78
"101","ACT-5374",6.04,9.95,4.1,"Story","Done",2017-08-21,20.09
"51","ACT-2351",5.7,0,0,"Story","Done",2017-08-22,5.7
"44","ACT-2342",1.06,0,0,"Story","Done",2017-08-23,1.06
"45","ACT-2343",0.94,0,0,"Story","Done",2017-08-24,0.94
"97","ACT-4981",14.98,1.14,0,"Story","Done",2017-08-30,16.12
"104","ACT-6912",1.97,1.06,0,"Story","Done",2017-09-01,3.03
"54","ACT-2419",14.33,0.97,0,"Story","Done",2017-09-05,15.3
"98","ACT-4983",0.99,4.82,0.9,"Story","Done",2017-09-05,6.71
"105","ACT-6995",2.04,0,0,"Story","Done",2017-09-07,2.04
